Video,5,10,20,40,80
morocho,154334,159482,172494,175225,175874
tenis,114705,120136,131049,132254,135993
bebes,374027,413639,458554,482902,780460
fideos,251593,280720,309360,4316831,10831145
perro,73938,80152,91166,91208,92388
cupcake,55719,56180,61711,63667,65684
