Video, 5, 10, 20, 30, 40, 50, 60, 70, 80
morocho, 2885, 2941, 2889, 2717, 2872, 3254, 3316, 2952, 2818
tenis, 2933, 2959, 2970, 3007, 2881, 3060, 2904, 2980, 3068
bebes, 2869, 2850, 2853, 2997, 3004, 2878, 3044, 2996, 2935
fideos, 3057, 2964, 2907, 2848, 2912, 2956, 2960, 2952, 2986
perro, 2872, 3019, 2909, 3169, 3015, 3020, 3014, 3006, 3044
cupcake, 2938, 2867, 2952, 2935, 2893, 2889, 3035, 2854, 2947
