Tipo, 5, 10, 20, 40, 80, 160, 320, 640, 1280, 2560, 5120, 10240, 20480
Vecino mas cercano, 10, 11, 14, 21, 38, 66, 121, 246, 449, 942, 1818, 3618, 7169
Lineal, 11, 11, 14, 21, 35, 65, 126, 238, 473, 950, 1896, 3759, 7489
Splines por Bloques, 11, 12, 18, 29, 47, 87, 168, 359, 647, 1273, 2559, 5145, 10221
