Tipo, 160, 320, 640, 1280, 1920, 2560, 3200, 3840, 4120, 4760
Constante, 64, 123, 260, 483, 757, 952, 1171, 1427, 1571, 1779
Variable, 66, 128, 242, 487, 726, 979, 1203, 1436, 1569, 1782
