Tipo, 160, 320, 640, 1280, 1920, 2560, 3200, 3840, 4120, 4760
Constante, 65, 132, 229, 470, 741, 916, 1157, 1359, 1542, 1700
Variable, 66, 125, 236, 460, 682, 909, 1152, 1403, 1481, 1703
