Tipo, 160, 320, 640, 1280, 1920, 2560, 3200, 3840, 4120, 4760
Constante, 94, 187, 326, 648, 994, 1326, 1601, 1945, 2097, 2388
Variable, 87, 174, 328, 671, 994, 1293, 1611, 1949, 2075, 2418
